,Country,freq,Population,NetUserPercent
0,Afghanistan,4,26023100.0,11.44768809
1,Albania,56,2895947.0,71.8470405
2,Algeria,64,38700000.0,47.69105515
3,Angola,11,24383301.0,14.33907936
4,Argentina,300,42669500.0,75.80974423
5,Armenia,59,3009800.0,69.71812489
6,Aruba,16,101484.0,97.17
7,Australia,175,23696900.0,86.54472054
8,Austria,20,8527230.0,87.93558659
9,Azerbaijan,41,9552500.0,79.0
10,Bahamas,3,,
11,Bahrain,11,1316500.0,95.87813575
12,Bangladesh,266,157486000.0,18.02
13,Belarus,56,9475100.0,74.43644541
14,Belgium,79,11225469.0,87.67968082
15,Belize,3,349728.0,47.082625799999995
16,Benin,2,9988068.0,14.11901233
17,Bolivia,759,10027254.0,43.83227607
18,Bosnia and Herzegovina,7,3791622.0,69.49115242
19,Botswana,4,2024904.0,41.41379464
20,Brazil,3613,203586000.0,67.47
21,British Virgin Islands,4,,
22,Bulgaria,183,7245677.0,63.41010138
23,Cambodia,2151,15184116.0,33.99999913
24,Cameroon,22,20386799.0,23.20297197
25,Canada,1004,35540419.0,92.70137191
26,Chile,346,17819054.0,82.32748693
27,China,42239,1367110000.0,54.3
28,Colombia,1199,47907800.0,62.25988032
29,Costa Rica,97,4713168.0,71.58166462
30,Croatia,86,4267558.0,67.09619204
31,Cyprus,4,858000.0,80.74318897
32,Czechia,39,,78.72
32,Czechia,39,,78.72
32,Czechia,39,,78.72
33,Denmark,11,5655750.0,97.09936216
34,Dominican Republic,62,10378267.0,64.99320547
35,Ecuador,151,15888900.0,57.27224368
36,Egypt,1017,87668100.0,44.95
36,Egypt,1017,87668100.0,44.95
36,Egypt,1017,87668100.0,44.95
36,Egypt,1017,87668100.0,44.95
37,El Salvador,13,6401240.0,31.25135241
38,Estonia,4,1315819.0,88.10245687
39,Ethiopia,63,87952991.0,18.61805145
40,Fiji,2,859178.0,49.96637301
41,France,80788,66078000.0,80.5
42,Georgia,125,4490500.0,60.49125755
43,Germany,17282,80783000.0,84.39550077
44,Ghana,19,27043093.0,37.88415262
45,Greece,786,10992589.0,69.89
46,Guadeloupe,6,405739.0,
47,Guatemala,66,15806675.0,40.70304908
48,Guyana,4,784894.0,37.32583679
49,Haiti,360,10745665.0,12.32610358
50,Hashemite Kingdom of Jordan,204,,66.79
50,Hashemite Kingdom of Jordan,204,,66.79
51,Honduras,8,8725111.0,32.13636364
52,Hong Kong,517,7234800.0,89.42
52,Hong Kong,517,7234800.0,89.42
52,Hong Kong,517,7234800.0,89.42
52,Hong Kong,517,7234800.0,89.42
53,Hungary,68,9879000.0,76.75054712
54,India,7663,1263930000.0,34.45
55,Indonesia,4505,252164800.0,32.2924419
56,Iran,2127,77966400.0,60.32
56,Iran,2127,77966400.0,60.32
56,Iran,2127,77966400.0,60.32
56,Iran,2127,77966400.0,60.32
57,Iraq,85,36004552.0,49.35999889
58,Ireland,19641,6378000.0,84.51538863
59,Israel,329,8268400.0,81.58118359
60,Italy,747,60769102.0,61.30114276
61,Ivory Coast,32,23821000.0,
62,Jamaica,13,2717991.0,48.78096953
63,Japan,202,127080000.0,90.87304215
64,Kazakhstan,546,17377800.0,76.42674823
65,Kenya,110,41800000.0,17.82710021
66,Kosovo,1,,
67,Kuwait,1620,3268431.0,97.99998933
68,Kyrgyzstan,22,5776570.0,
69,Laos,42,6693300.0,
70,Latvia,221,1991800.0,81.31586170000001
71,Lebanon,7,4104000.0,78.18077489
72,Libya,7,6253000.0,21.75892062
73,Macao,26,,
74,Malawi,3,15805239.0,13.78216439
75,Malaysia,144,30430500.0,80.14047901
76,Mali,10,15768000.0,12.72064096
77,Mauritius,19,1261208.0,55.55669841
78,Mexico,1462,119713203.0,63.85224909
79,Mongolia,183,2987733.0,23.71426517
80,Montenegro,4,,71.27233254
81,Morocco,45,33465000.0,61.76221201
82,Mozambique,5,25041922.0,20.7740003
83,Myanmar,148,,30.67818311
84,Namibia,6,2113077.0,36.83740647
85,Nepal,2051,27646053.0,21.40351043
86,Netherlands,334712,16881000.0,93.19727891
87,New Zealand,13,4547900.0,90.81109307
88,Nicaragua,13,6134270.0,27.86304001
89,Niger,4,17138707.0,10.22431156
90,Nigeria,188,178517000.0,27.68098584
91,North Macedonia,29,,76.31197942
92,Norway,126,5156450.0,96.50851854
93,Oman,12,4089076.0,80.18563573
94,Pakistan,464,188410000.0,15.51
95,Palestine,17,,
96,Panama,622,3713312.0,57.86509007
97,Papua New Guinea,5,7398500.0,11.20919659
98,Paraguay,51,6893727.0,61.07575622
99,Peru,188,30814175.0,48.72763146
100,Philippines,5685,100697400.0,60.05476033
101,Poland,342,38496000.0,75.98536595
102,Portugal,88,10477800.0,73.79121395
103,Puerto Rico,142,3615086.0,72.75272269
104,Qatar,9,2269672.0,95.94
105,Republic of Lithuania,127,,77.62
106,Republic of Moldova,1584,,76.12
107,Republic of the Congo,6,4559000.0,
108,Romania,196,19942642.0,63.74728218
109,Russia,4651,146233000.0,76.01
109,Russia,4651,146233000.0,76.01
109,Russia,4651,146233000.0,76.01
109,Russia,4651,146233000.0,76.01
110,Saint Martin,1,,
111,Saudi Arabia,225,30770375.0,82.12
112,Senegal,2,13508715.0,29.64312367
113,Serbia,173,,70.33083553
114,Seychelles,30,89949.0,58.76981124
115,Singapore,612,5469700.0,84.44953878
116,Slovakia,27,5415949.0,
117,Slovenia,2,2064966.0,78.88542636
118,Somalia,2,10806000.0,2.004048698
119,South Africa,294,54002000.0,56.16739447
120,South Korea,2061,50423955.0,95.1
121,Spain,322,46507760.0,84.60224570000001
122,Sri Lanka,26,20277597.0,34.1133479
123,Sudan,60,37289406.0,30.87029573
124,Suriname,5,534189.0,48.94517397
125,Sweden,4094,9737521.0,96.40964528
126,Switzerland,47,8183800.0,93.71386591
127,Syria,6,22964324.0,34.25
127,Syria,6,22964324.0,34.25
127,Syria,6,22964324.0,34.25
127,Syria,6,22964324.0,34.25
128,Taiwan,3220,23424615.0,92.78
128,Taiwan,3220,23424615.0,92.78
128,Taiwan,3220,23424615.0,92.78
128,Taiwan,3220,23424615.0,92.78
129,Tanzania,13,47421786.0,15.99999943
130,Thailand,1814,64871000.0,52.89192934
131,Togo,4,6993000.0,12.36022497
132,Trinidad and Tobago,33,1328019.0,77.32605293
133,Tunisia,29,10982754.0,55.5
134,Turkey,1710,76667864.0,64.68461768
135,U.S. Virgin Islands,6,,
136,Uganda,18,34856813.0,23.70653091
137,Ukraine,838,42973696.0,57.11513856
138,United Arab Emirates,84,9446000.0,94.81992254
139,United Kingdom,120771,64105654.0,94.62
140,United States,52912,319259000.0,75.23264272
141,Uruguay,28,3404189.0,68.27966256
142,Uzbekistan,30,30492800.0,52.30510079
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
143,Venezuela,880,30206307.0,64.31
144,Vietnam,17864,89708900.0,49.56909734
145,Zambia,15,15023315.0,27.852579100000003
146,Zimbabwe,40,13061239.0,27.05548769
